COUNTRY,ISO3,WHO_REGION,TOTAL_VACCINATIONS,TOTAL_VACCINATIONS_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Afghanistan,AFG,EMRO,1201286.0,3.0860000000000003,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield",2/22/21,4.0
Algeria,DZA,AFRO,4146091.0,9.455,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,SII - Covishield",1/30/21,3.0
American Samoa,ASM,WPRO,54425.0,98.601,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",12/21/20,3.0
Angola,AGO,AFRO,1869933.0,5.69,SII - Covishield,3/10/21,1.0
Anguilla,AIA,AMRO,18458.0,123.037,AstraZeneca - Vaxzevria,2/5/21,1.0
Antigua and Barbuda,ATG,AMRO,72902.0,74.444,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,SII - Covishield",2/19/21,5.0
Argentina,ARG,AMRO,40961189.0,90.631,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Moderna - mRNA-1273,SII - Covishield",12/29/20,5.0
Aruba,ABW,AMRO,147211.0,137.882,"Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty",2/17/21,2.0
Australia,AUS,WPRO,17150654.0,67.258,"AstraZeneca - Vaxzevria,Novavax - Covavax,Pfizer BioNTech - Comirnaty",2/21/21,3.0
Bahamas,BHS,AMRO,129017.0,32.808,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield",3/14/21,3.0
Bahrain,BHR,EMRO,2477016.0,145.572,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",11/4/20,7.0
Bangladesh,BGD,SEARO,24218796.0,14.706,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",1/27/21,8.0
Barbados,BRB,AMRO,198370.0,69.028,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield",2/10/21,4.0
Belize,BLZ,AMRO,225615.0,56.74,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield",3/1/21,4.0
Benin,BEN,AFRO,120333.0,0.993,"SII - Covishield,Sinovac - CoronaVac",3/29/21,2.0
Bermuda,BMU,AMRO,84748.0,136.091,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",1/11/21,2.0
Bhutan,BTN,SEARO,1036834.0,134.373,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",3/27/21,4.0
Bolivia (Plurinational State of),BOL,AMRO,5674777.0,48.614,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield",1/30/21,5.0
"Bonaire, Sint Eustatius and Saba",BES,AMRO,7391.0,28.441,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2/22/21,2.0
Botswana,BWA,AFRO,264978.0,11.267999999999999,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/26/21,4.0
Brazil,BRA,AMRO,177094781.0,83.315,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",1/17/21,5.0
British Virgin Islands,VGB,AMRO,29828.0,98.647,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5",2/11/21,2.0
Brunei Darussalam,BRN,WPRO,245549.0,56.128,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",4/3/21,5.0
Burkina Faso,BFA,AFRO,98670.0,0.47200000000000003,SII - Covishield,6/2/21,1.0
Cabo Verde,CPV,AFRO,296476.0,53.324,"Pfizer BioNTech - Comirnaty,SII - Covishield",3/18/21,2.0
Cambodia,KHM,WPRO,17040763.0,101.925,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,SII - Covishield,Sinovac - CoronaVac",2/10/21,5.0
Cameroon,CMR,AFRO,426590.0,1.607,"Beijing CNBG - BBIBP-CorV,SII - Covishield",4/12/21,2.0
Canada,CAN,AMRO,52933914.0,140.251,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",12/14/20,3.0
Cayman Islands,CYM,AMRO,100362.0,152.71200000000002,Pfizer BioNTech - Comirnaty,1/15/21,1.0
Central African Republic,CAF,AFRO,108895.0,2.255,"Bharat - Covaxin,SII - Covishield",3/19/21,2.0
Chad,TCD,AFRO,51697.0,0.315,Beijing CNBG - BBIBP-CorV,6/4/21,1.0
Chile,CHL,AMRO,26987084.0,141.174,"AstraZeneca - Vaxzevria,CanSino - Ad5-nCOV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",12/21/20,4.0
China,CHN,WPRO,1943323262.0,132.083,"Anhui ZL - Recombinant,Beijing CNBG - BBIBP-CorV,CanSino - Ad5-nCOV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",3/6/21,6.0
Colombia,COL,AMRO,34247170.0,67.306,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2/17/21,5.0
Comoros,COM,AFRO,277419.0,31.901999999999997,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",4/10/21,3.0
Congo,COG,AFRO,175211.0,3.175,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Moderna - mRNA-1273,SII - Covishield",3/23/21,4.0
Cook Islands,COK,WPRO,21761.0,123.895,Pfizer BioNTech - Comirnaty,5/17/21,1.0
Costa Rica,CRI,AMRO,4033022.0,79.17,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",12/24/20,2.0
Côte d’Ivoire,CIV,AFRO,1307791.0,4.958,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,SII - Covishield",3/1/21,3.0
Curaçao,CUW,AMRO,181272.0,110.469,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2/24/21,3.0
Democratic Republic of the Congo,COD,AFRO,93140.0,0.10400000000000001,SII - Covishield,4/19/21,1.0
Djibouti,DJI,EMRO,33709.0,3.412,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/15/21,6.0
Dominica,DMA,AMRO,41932.0,58.246,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield",2/12/21,4.0
Dominican Republic,DOM,AMRO,11019655.0,101.583,"AstraZeneca - Vaxzevria,SII - Covishield,Sinovac - CoronaVac",2/16/21,3.0
Ecuador,ECU,AMRO,17513775.0,99.26700000000001,"AstraZeneca - Vaxzevria,CanSino - Ad5-nCOV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",1/21/21,4.0
Egypt,EGY,EMRO,8741005.0,8.542,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",1/24/21,6.0
El Salvador,SLV,AMRO,6006253.0,92.6,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2/17/21,5.0
Equatorial Guinea,GNQ,AFRO,329229.0,23.465999999999998,"Beijing CNBG - BBIBP-CorV,Sinovac - CoronaVac",2/12/21,2.0
Eswatini,SWZ,AFRO,189424.0,16.327,SII - Covishield,3/19/21,1.0
Ethiopia,ETH,AFRO,2434041.0,2.117,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",3/13/21,3.0
Fiji,FJI,WPRO,778159.0,86.805,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,SII - Covishield",3/7/21,3.0
French Polynesia,PYF,WPRO,156696.0,55.782,"Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty",1/18/21,2.0
Gabon,GAB,AFRO,127757.0,5.74,Beijing CNBG - BBIBP-CorV,3/23/21,1.0
Gambia,GMB,AFRO,189196.0,7.829,"Beijing CNBG - BBIBP-CorV,SII - Covishield",3/10/21,2.0
Ghana,GHA,AFRO,1271393.0,4.092,"Gamaleya - Sputnik V,SII - Covishield",3/2/21,2.0
Grenada,GRD,AMRO,42484.0,37.756,"AstraZeneca - Vaxzevria,SII - Covishield",2/15/21,2.0
Guadeloupe,GLP,AMRO,170272.0,42.555,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",1/8/21,5.0
Guam,GUM,WPRO,205853.0,121.969,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",1/4/21,3.0
Guatemala,GTM,AMRO,4124813.0,23.024,"AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",2/25/21,5.0
Guinea,GIN,AFRO,1116818.0,8.504,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/5/21,6.0
Guinea-Bissau,GNB,AFRO,31090.0,1.58,"Beijing CNBG - BBIBP-CorV,SII - Covishield",4/2/21,2.0
Guyana,GUY,AMRO,468218.0,59.528,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Moderna - mRNA-1273,SII - Covishield",2/11/21,5.0
Honduras,HND,AMRO,3205881.0,32.368,"AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",2/26/21,6.0
India,IND,SEARO,595504593.0,43.152,"Bharat - Covaxin,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,SII - Covishield",1/16/21,5.0
Indonesia,IDN,SEARO,91526084.0,33.461999999999996,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",1/13/21,5.0
Iran (Islamic Republic of),IRN,EMRO,26176126.0,31.165,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Sputnik V",2/9/21,4.0
Iraq,IRQ,EMRO,3368843.0,8.376,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",3/2/21,4.0
Jamaica,JAM,AMRO,496976.0,16.783,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,SII - Covishield",3/10/21,3.0
Japan,JPN,WPRO,118310106.0,93.54299999999999,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Novavax - Covavax,Pfizer BioNTech - Comirnaty",2/17/21,4.0
Jordan,JOR,EMRO,6291218.0,61.66,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",1/13/21,6.0
Kenya,KEN,AFRO,2693039.0,5.008,SII - Covishield,3/5/21,1.0
Kiribati,KIR,WPRO,13970.0,11.695,AstraZeneca - Vaxzevria,5/26/21,1.0
Kuwait,KWT,EMRO,2380000.0,55.73,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",12/28/20,5.0
Lao People's Democratic Republic,LAO,WPRO,3044669.0,41.848,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",11/25/20,7.0
Lebanon,LBN,EMRO,2626733.0,38.484,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",2/14/21,4.0
Lesotho,LSO,AFRO,201795.0,9.42,SII - Covishield,3/10/21,1.0
Liberia,LBR,AFRO,113680.0,2.248,SII - Covishield,4/1/21,1.0
Libya,LBY,EMRO,1031060.0,15.005,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",4/11/21,7.0
Madagascar,MDG,AFRO,197001.0,0.711,SII - Covishield,5/10/21,1.0
Malawi,MWI,AFRO,929229.0,4.857,SII - Covishield,3/11/21,1.0
Malaysia,MYS,WPRO,29886548.0,92.339,"AstraZeneca - Vaxzevria,CanSino - Ad5-nCOV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2/24/21,5.0
Maldives,MDV,SEARO,676694.0,125.18799999999999,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2/1/21,8.0
Mali,MLI,AFRO,296490.0,1.464,SII - Covishield,3/31/21,1.0
Marshall Islands,MHL,WPRO,37295.0,63.005,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",12/29/20,3.0
Mauritania,MRT,AFRO,565434.0,12.161,"Beijing CNBG - BBIBP-CorV,SII - Covishield",3/26/21,2.0
Mauritius,MUS,AFRO,1483840.0,116.675,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",1/26/21,3.0
Mexico,MEX,AMRO,82678717.0,64.125,"AstraZeneca - Vaxzevria,CanSino - Ad5-nCOV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",12/24/20,7.0
Micronesia (Federated States of),FSM,WPRO,62016.0,53.916000000000004,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",1/13/21,4.0
Mongolia,MNG,WPRO,4282954.0,130.64600000000002,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",2/23/21,6.0
Montserrat,MSR,AMRO,2828.0,56.571000000000005,AstraZeneca - Vaxzevria,2/8/21,1.0
Morocco,MAR,EMRO,32591453.0,88.29799999999999,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5",1/28/21,4.0
Mozambique,MOZ,AFRO,2297842.0,7.352,"Beijing CNBG - BBIBP-CorV,SII - Covishield",3/8/21,2.0
Myanmar,MMR,SEARO,4456857.0,8.191,"Beijing CNBG - BBIBP-CorV,SII - Covishield",1/27/21,2.0
Namibia,NAM,AFRO,297066.0,11.690999999999999,"Beijing CNBG - BBIBP-CorV,SII - Covishield",3/19/21,2.0
Nauru,NRU,WPRO,14790.0,136.515,"AstraZeneca - Vaxzevria,SII - Covishield",4/9/21,2.0
Nepal,NPL,SEARO,8801330.0,30.206999999999997,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,SII - Covishield",1/27/21,6.0
New Caledonia,NCL,WPRO,133804.0,46.867,Pfizer BioNTech - Comirnaty,1/20/21,1.0
New Zealand,NZL,WPRO,2439089.0,50.58,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Novavax - Covavax,Pfizer BioNTech - Comirnaty",2/19/21,4.0
Nicaragua,NIC,AMRO,645733.0,9.748,"Gamaleya - Sputnik V,SII - Covishield",3/2/21,2.0
Niger,NER,AFRO,491738.0,2.031,"Beijing CNBG - BBIBP-CorV,SII - Covishield",3/29/21,2.0
Nigeria,NGA,AFRO,4182515.0,2.029,SII - Covishield,3/5/21,1.0
Niue,NIU,WPRO,2352.0,145.365,Pfizer BioNTech - Comirnaty,6/8/21,1.0
Northern Mariana Islands (Commonwealth of the),MNP,WPRO,66008.0,114.68299999999999,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",12/19/20,3.0
occupied Palestinian territory,PSE,EMRO,1163445.0,22.805999999999997,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2/2/21,7.0
Oman,OMN,EMRO,1887421.0,36.96,"AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",12/29/20,5.0
Pakistan,PAK,EMRO,50985184.0,23.081,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Ad5-nCOV,Gamaleya - Sputnik V,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2/3/21,8.0
Palau,PLW,WPRO,27703.0,153.123,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",1/3/21,3.0
Panama,PAN,AMRO,4124375.0,95.587,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",1/20/21,2.0
Papua New Guinea,PNG,WPRO,143192.0,1.6,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,SII - Covishield",3/30/21,4.0
Paraguay,PRY,AMRO,3928259.0,55.075,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Sputnik V,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2/22/21,7.0
Peru,PER,AMRO,17703652.0,53.693000000000005,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,Wuhan CNBG - Inactivated",2/9/21,4.0
Philippines,PHL,WPRO,29591828.0,27.005,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Novavax - Covavax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",3/1/21,9.0
Pitcairn Islands,PCN,WPRO,73.0,146.0,AstraZeneca - Vaxzevria,5/17/21,1.0
Qatar,QAT,EMRO,4392745.0,152.47,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",12/23/20,4.0
Republic of Korea,KOR,WPRO,36346022.0,70.893,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Novavax - Covavax,Pfizer BioNTech - Comirnaty",2/26/21,5.0
Rwanda,RWA,AFRO,854194.0,6.595,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",2/14/21,3.0
Saint Kitts and Nevis,KNA,AMRO,45327.0,85.214,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield",2/22/21,3.0
Saint Lucia,LCA,AMRO,63262.0,34.451,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield",2/17/21,3.0
Saint Vincent and the Grenadines,VCT,AMRO,26690.0,24.058000000000003,"AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,SII - Covishield",2/1/21,4.0
Samoa,WSM,WPRO,124960.0,62.979,AstraZeneca - Vaxzevria,4/18/21,1.0
Sao Tome and Principe,STP,AFRO,43987.0,20.070999999999998,"AstraZeneca - Vaxzevria,SII - Covishield",3/15/21,2.0
Saudi Arabia,SAU,EMRO,36686140.0,105.37799999999999,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",1/6/21,4.0
Senegal,SEN,AFRO,1565549.0,9.35,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2/23/21,2.0
Seychelles,SYC,AFRO,139625.0,141.972,"Beijing CNBG - BBIBP-CorV,SII - Covishield",1/10/21,2.0
Sierra Leone,SLE,AFRO,193557.0,2.426,"Beijing CNBG - BBIBP-CorV,SII - Covishield",3/15/21,2.0
Singapore,SGP,WPRO,8575608.0,146.583,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",12/30/20,3.0
Sint Maarten,SXM,AMRO,48042.0,112.03299999999999,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2/22/21,3.0
Solomon Islands,SLB,WPRO,71601.0,10.424000000000001,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,SII - Covishield",3/23/21,3.0
Somalia,SOM,EMRO,291053.0,1.831,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,SII - Covishield,Sinovac - CoronaVac",3/16/21,4.0
South Africa,ZAF,AFRO,11076106.0,18.675,Janssen - Ad26.COV 2.5,2/17/21,1.0
South Sudan,SSD,AFRO,56989.0,0.509,SII - Covishield,4/6/21,1.0
Sri Lanka,LKA,SEARO,18099065.0,84.523,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",1/29/21,6.0
Sudan,SDN,EMRO,829682.0,1.892,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/9/21,5.0
Suriname,SUR,AMRO,319434.0,54.452,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,SII - Covishield",2/23/21,3.0
Syrian Arab Republic,SYR,EMRO,403254.0,2.3040000000000003,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,SII - Covishield,Sinovac - CoronaVac",4/1/21,5.0
Thailand,THA,SEARO,27061184.0,38.77,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2/28/21,7.0
The United Kingdom,GBR,EURO,89501494.0,131.8,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",12/21/20,3.0
Timor-Leste,TLS,SEARO,556783.0,42.23,"AstraZeneca - Vaxzevria,SII - Covishield,Sinovac - CoronaVac",4/7/21,3.0
Togo,TGO,AFRO,535518.0,6.468999999999999,SII - Covishield,3/10/21,1.0
Tokelau,TKL,WPRO,968.0,71.704,Pfizer BioNTech - Comirnaty,7/20/21,1.0
Tonga,TON,WPRO,66629.0,63.038999999999994,AstraZeneca - Vaxzevria,4/14/21,1.0
Trinidad and Tobago,TTO,AMRO,879807.0,62.86600000000001,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield",2/17/21,4.0
Tunisia,TUN,EMRO,5646781.0,47.778999999999996,"AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",3/13/21,5.0
Turks and Caicos Islands,TCA,AMRO,49107.0,126.83200000000001,Pfizer BioNTech - Comirnaty,1/11/21,1.0
Tuvalu,TUV,WPRO,8289.0,70.293,AstraZeneca - Vaxzevria,4/13/21,1.0
Uganda,UGA,AFRO,1163451.0,2.544,SII - Covishield,3/10/21,1.0
United Arab Emirates,ARE,EMRO,18095160.0,182.957,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,SII - Covishield",12/14/20,5.0
United States of America,USA,AMRO,367316149.0,110.971,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",12/14/20,3.0
Uruguay,URY,AMRO,5436311.0,156.498,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2/27/21,3.0
Vanuatu,VUT,WPRO,38236.0,12.449000000000002,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV",6/2/21,2.0
Venezuela (Bolivarian Republic of),VEN,AMRO,9150998.0,32.181,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Wuhan CNBG - Inactivated",2/22/21,3.0
Viet Nam,VNM,WPRO,16306199.0,16.752,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",3/8/21,5.0
Wallis and Futuna,WLF,WPRO,9276.0,82.48299999999999,Moderna - mRNA-1273,3/19/21,1.0
Yemen,YEM,EMRO,311483.0,1.044,SII - Covishield,4/20/21,1.0
Zambia,ZMB,AFRO,503707.0,2.74,SII - Covishield,4/14/21,1.0
Zimbabwe,ZWE,AFRO,3772579.0,25.381999999999998,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Sinovac - CoronaVac",2/18/21,3.0
